Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-304	5.613074	0	0.027208999999999997	99.18708078156897	35.09040536599592	49.529746281714786	0.027431999999999998
SORT-305	4.828834	0	0.033329	99.67402356600276	21.568275614570247	60.0125605598421	0.033437999999999996
SORT-306	5.895983	0	0.041666999999999996	98.95739324561819	37.282097563292645	47.104925663800884	0.042106
SORT-307	5.761608	0	0.041735999999999995	98.62936005293506	33.70829000850742	49.657340013233764	0.042316
SORT-308	5.97295	0	0.042345999999999995	99.08278347138378	44.07319013524264	42.007113107772945	0.042738
SORT-309	5.882217	0	0.041971	98.87161366313309	36.13663133097762	46.763250883392224	0.042449999999999995
SORT-31	6.192454	0	0.038314999999999995	99.43167073234027	47.724087818549854	41.39980277157835	0.038534
SORT-310	6.137583	0	0.039587	99.20062146043202	39.99899764446449	44.69002155064402	0.039906
SORT-311	5.925111	0	0.018754	98.99704391891892	34.364442567567565	48.03103885135135	0.018944
SORT-312	5.609282	0	0.035767	98.98981512232923	33.51599690025463	52.20580095206465	0.036132
SORT-313	5.001328	0	0.040123	99.60528275656621	24.045479370438407	58.06315475894941	0.040282
SORT-314	5.288959	0	0.03683	98.9734494249167	28.42631409222831	55.165000537461026	0.037211999999999995
SORT-315	5.57761	0	0.040811	99.04620910591204	30.351422192020195	53.51422192020192	0.041204
SORT-316	5.89017	0	0.04162	98.85985748218528	37.919239904988125	46.21377672209026	0.0421
SORT-317	6.102548	0	0.04591	98.98663216903839	41.302285467874086	43.16300129366106	0.04638
SORT-318	5.992298	0	0.044481	99.17725752508362	39.44704570791527	45.569676700111486	0.04485
SORT-319	5.945272	0	0.041499	99.12339368461282	38.819089475947074	45.765059953183965	0.041866
SORT-32	5.935428	0	0.032209	99.23285476615933	40.741881816501326	44.956559245794566	0.032458
SORT-320	5.683025	0	0.034388	99.0380738436726	34.09941823627671	48.95167329070906	0.034721999999999996
SORT-321	4.932824999999999	0	0.040028999999999995	99.66387809979086	22.24380041828503	60.16830992928991	0.040164
SORT-322	5.360303	0	0.000087	3.471667996807662	0	2.314445331205108	0.002506
SORT-323	5.772625	0	0.045156999999999996	98.93738223566014	35.30520134963411	48.73362254064239	0.045641999999999995
SORT-324	6.745405	0	0.034711	99.02150967079363	46.84772065955383	39.076852855594225	0.035054
SORT-325	6.475601	0	0.035317999999999995	99.21901337228903	43.16777165973705	42.041240588830206	0.035595999999999996
SORT-326	6.544816000000001	0	0.042144	99.21838214521142	46.50155381862699	38.657124022977676	0.042476
SORT-327	6.407474000000001	0	0.042881999999999997	99.36969921675859	51.39732122167122	37.40557074662835	0.043154
SORT-328	6.005583	0	0.031754	98.9159553921874	38.63933711295247	46.69490997445642	0.032102
SORT-329	4.749674000000001	0	0.032441	99.67737970871997	20.05776439501014	62.68358630860935	0.032546
SORT-33	4.898609	0	0.043133	99.66495679097925	23.25893063450252	60.578122833772355	0.043278
SORT-330	5.9321	0	0.040947	99.37145075959812	39.13022375382226	46.427704703198565	0.041206
SORT-331	6.035923	0	0.03848	98.73755516781279	34.57867186698142	49.72800985322796	0.038972
SORT-332	6.530733	0	0.035207999999999996	99.37341236240475	52.503528083545014	36.61021732994637	0.035429999999999996
SORT-333	7.553513000000001	0	0.0006	99.00990099009901	60.726072607260726	37.78877887788779	0.000606
SORT-334	6.308208	0	0.030424999999999997	99.33072151485472	42.69017303297421	42.846882141691154	0.030629999999999998
SORT-335	6.304737	0	0.030355	99.18638086524638	44.242582668932165	42.32780028754411	0.030604
SORT-336	5.7569349999999995	0	0.039805	98.97309662340245	37.03814212541648	47.78208762245761	0.040218
SORT-337	4.965565000000001	0	0.041617	99.67666219582296	24.54493197930638	59.80551829852462	0.041752
SORT-338	6.105353	0	0.042970999999999995	99.05260246185054	40.09036005716657	44.83656816191047	0.043382
SORT-339	6.326497000000001	0	0.035382	99.27609427609427	42.75533108866442	42.309203142536475	0.03564
SORT-34	5.687285	0	0.045817	99.09806635809146	34.16100705108794	51.43400960332223	0.046234
